case:concept:name;concept:name;concept:flops;concept:kernel;concept:operation;timestamp:start
algorithm2;trsv_1e+04;1e+04;trsv!('L', 'T', 'N', ml3, ml4);tmp24 = (L15^-T tmp23);2023-02-06 16:27:05.367107
algorithm36;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2023-02-06 17:23:38.367107
algorithm36;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2023-02-06 17:23:39.367107
algorithm36;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2023-02-06 17:23:40.367107
algorithm36;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2023-02-06 17:23:41.367107
algorithm36;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2023-02-06 17:23:42.367107
algorithm36;ml4 = qr_2.67e+06;2.67e+06;ml4 = qr!(ml4);(Q16 R17) = tmp14;2023-02-06 17:23:43.367107
algorithm36;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2023-02-06 17:23:44.367107
algorithm36;gemv_2e+05;2e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp21 = (tmp56 tmp71);2023-02-06 17:23:45.367107
algorithm36;gemv_2e+04;2e+04;gemv!('T', 1.0, ml6, ml5, 0.0, ml7);tmp25 = (Q16^T tmp21);2023-02-06 17:23:46.367107
algorithm36;trsv_1e+04;1e+04;trsv!('U', 'N', 'N', ml8, ml7);tmp24 = (R17^-1 tmp25);2023-02-06 17:23:47.367107
algorithm97;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2023-02-06 19:05:18.367107
algorithm97;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2023-02-06 19:05:19.367107
algorithm97;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2023-02-06 19:05:20.367107
algorithm97;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2023-02-06 19:05:21.367107
algorithm97;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2023-02-06 19:05:22.367107
algorithm97;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2023-02-06 19:05:23.367107
algorithm97;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml4);(L15 L15^T) = tmp14;2023-02-06 19:05:24.367107
algorithm97;trsm_1e+07;1e+07;trsm!('L', 'L', 'N', 'N', 1.0, ml4, ml3);tmp219 = (L15^-1 tmp56);2023-02-06 19:05:25.367107
algorithm97;trsm_1e+07;1e+07;trsm!('L', 'L', 'T', 'N', 1.0, ml4, ml3);tmp90 = (L15^-T tmp219);2023-02-06 19:05:26.367107
algorithm97;gemv_2e+05;2e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp24 = (tmp90 tmp71);2023-02-06 19:05:27.367107
algorithm59;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2023-02-06 18:01:58.367107
algorithm59;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2023-02-06 18:01:59.367107
algorithm59;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2023-02-06 18:02:00.367107
algorithm59;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2023-02-06 18:02:01.367107
algorithm59;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml4);(L15 L15^T) = tmp14;2023-02-06 18:02:02.367107
algorithm59;trsm_1e+07;1e+07;trsm!('L', 'L', 'N', 'N', 1.0, ml4, ml3);tmp219 = (L15^-1 tmp56);2023-02-06 18:02:03.367107
algorithm59;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2023-02-06 18:02:04.367107
algorithm59;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2023-02-06 18:02:05.367107
algorithm59;gemv_2e+05;2e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp23 = (tmp219 tmp71);2023-02-06 18:02:06.367107
algorithm59;trsv_1e+04;1e+04;trsv!('L', 'T', 'N', ml4, ml5);tmp24 = (L15^-T tmp23);2023-02-06 18:02:07.367107
algorithm6;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2023-02-06 16:33:38.367107
algorithm6;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2023-02-06 16:33:39.367107
algorithm6;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2023-02-06 16:33:40.367107
